id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http
2,English,en,37705712,5000680,63208806,797386739,26610629,1329,2015-11-02 00:10:19,English,866887,English_language,126672,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
16,Swedish,sv,4679376,2010258,1135996,30694415,462809,71,2015-11-02 00:00:33,Svenska,0,Svenska,2657,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
10,German,de,5307099,1871127,8543798,152758815,2282066,245,2015-11-02 00:00:29,Deutsch,137770,Deutsch,18998,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
8,Dutch,nl,3510777,1840659,2743142,46228579,726257,50,2015-11-02 00:06:59,Nederlands,19,Nederlands,3726,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
1,French,fr,7775590,1688950,2234272,122345986,2359972,163,2015-11-02 00:00:48,Français,48309,Français,15197,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
24,Russian,ru,4579011,1264417,79753,86532146,1777569,90,2015-11-02 00:10:05,Русский,183219,Русский_язык,10075,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
212,Waray-Waray,war,2869539,1259342,0,6277122,26264,2,2015-11-02 00:01:44,Winaray,353,Winaray,80,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
153,Cebuano,ceb,2861714,1241620,0,5912635,23711,5,2015-11-02 00:02:16,Sinugboanong Binisaya,263,Sinugboanon,81,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
4,Italian,it,4208359,1232462,406,81368581,1284901,104,2015-11-02 00:10:13,Italiano,132041,Lingua_italiana,7437,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
22,Spanish,es,5206641,1210184,1798947,91635921,3980848,75,2015-11-02 00:07:17,Español,1,Idioma_español,16316,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
3,Polish,pl,2372470,1141505,2704125,43938372,717929,117,2015-11-02 00:00:35,Polski,0,Język_polski,3841,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
